"COMSOL_u","COMSOL_v","COMSOL_w","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35191,0,0,127.68,1,0,0,0.3,0.2
0.35175,0.0010884,-5.7097e-05,126,1,0.05,0.05,0.3,0.2
0.35126,0.0018322,-9.8845e-05,124.55,1,0.1,0.1,0.3,0.2
0.35026,0.0026638,-0.0001362,123.21,1,0.15,0.15,0.3,0.2
0.34956,0.0041382,-0.00016496,121.94,1,0.2,0.2,0.3,0.2
0.34915,0.0075266,-0.00022284,120.87,1,0.25,0.25,0.3,0.2
0.3483,0.015107,-0.00027964,120.2,1,0.3,0.3,0.3,0.2
0.34961,0.032048,-0.00060907,119.78,1,0.35,0.35,0.3,0.2
0.36057,0.067178,-0.0010478,116.68,1,0.4,0.4,0.3,0.2
0.41222,0.11158,-0.0018571,98.441,1,0.45,0.45,0.3,0.2
0.49483,0.089449,-0.0019836,66.453,1,0.5,0.5,0.3,0.2
0.48566,0.017717,-0.001476,59.15,1,0.55,0.55,0.3,0.2
0.45015,-0.018019,-0.00107,61.857,1,0.6,0.6,0.3,0.2
0.42943,-0.031237,-0.00083755,64.261,1,0.65,0.65,0.3,0.2
0.41507,-0.03373,-0.00056062,65.778,1,0.7,0.7,0.3,0.2
0.40006,-0.03018,-0.00029027,65.912,1,0.75,0.75,0.3,0.2
0.3984,-0.025619,-3.1428e-06,64.991,1,0.8,0.8,0.3,0.2
0.39241,-0.021216,-0.00013514,63.444,1,0.85,0.85,0.3,0.2
0.38596,-0.016915,-4.1991e-05,61.652,1,0.9,0.9,0.3,0.2
0.38073,-0.013751,-0.00023629,59.732,1,0.95,0.95,0.3,0.2
0.3749,-0.011488,-0.00016424,57.706,1,1,1,0.3,0.2
0.37054,-0.010204,0.00021554,55.69,1,1.05,1.05,0.3,0.2
0.36672,-0.0083147,2.2459e-05,53.648,1,1.1,1.1,0.3,0.2
0.36203,-0.0074917,0.00014992,51.519,1,1.15,1.15,0.3,0.2
0.36051,-0.0069231,-0.00012575,49.413,1,1.2,1.2,0.3,0.2
0.35781,-0.0060996,-0.00028517,47.331,1,1.25,1.25,0.3,0.2
0.35213,-0.0060436,9.0419e-05,45.224,1,1.3,1.3,0.3,0.2
0.35144,-0.0053211,-4.9672e-05,43.146,1,1.35,1.35,0.3,0.2
0.35027,-0.0050683,0.00013372,41.076,1,1.4,1.4,0.3,0.2
0.3477,-0.0045558,0.00024407,39.04,1,1.45,1.45,0.3,0.2
0.34785,-0.0040696,2.1791e-05,37.041,1,1.5,1.5,0.3,0.2
0.34628,-0.0036975,-4.0198e-05,35.044,1,1.55,1.55,0.3,0.2
0.3459,-0.003394,-0.00012666,33.09,1,1.6,1.6,0.3,0.2
0.3454,-0.0032801,-0.00013112,31.196,1,1.65,1.65,0.3,0.2
0.34394,-0.0029048,-0.00016536,29.256,1,1.7,1.7,0.3,0.2
0.34289,-0.0028964,-0.00010655,27.353,1,1.75,1.75,0.3,0.2
0.34236,-0.0026946,-0.0001386,25.449,1,1.8,1.8,0.3,0.2
0.33999,-0.0023579,-5.9524e-05,23.537,1,1.85,1.85,0.3,0.2
0.34022,-0.0021634,2.7928e-05,21.672,1,1.9,1.9,0.3,0.2
0.34081,-0.0020816,3.0346e-05,19.778,1,1.95,1.95,0.3,0.2
0.33957,-0.0018758,-2.353e-05,17.93,1,2,2,0.3,0.2
0.33922,-0.001751,0.00029472,16.068,1,2.05,2.05,0.3,0.2
0.34026,-0.0015994,0.00024964,14.191,1,2.1,2.1,0.3,0.2
0.33909,-0.0013065,0.00017691,12.345,1,2.15,2.15,0.3,0.2
0.3397,-0.0013303,0.00018118,10.52,1,2.2,2.2,0.3,0.2
0.33971,-0.0010129,0.00014348,8.7033,1,2.25,2.25,0.3,0.2
0.33872,-0.00082411,0.00014546,6.9086,1,2.3,2.3,0.3,0.2
0.3399,-0.0008904,0.00027716,5.1461,1,2.35,2.35,0.3,0.2
0.33995,-0.00085032,-3.3647e-05,3.3329,1,2.4,2.4,0.3,0.2
0.33926,-0.00041239,-6.7342e-05,1.5325,1,2.45,2.45,0.3,0.2
0.33835,0.0049687,-0.0001966,0.38478,1,2.5,2.5,0.3,0.2
