"S22","d1","d2","d3","dd1:0","dd1:1","dd1:2","dd2:0","dd2:1","dd2:2","dd3:0","dd3:1","dd3:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.25,0.25,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.5,0.5,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.75,0.75,0,0
2.0979,-2.3478e-12,2.8359e-14,2.1215e-15,-2.7062e-12,-1.1221e-13,-1.2507e-14,-1.0111e-13,9.5955e-12,-4.2802e-15,-1.6271e-14,-7.8369e-15,-2.3618e-12,1,1,1,0,0
1.3981,-2.7975e-12,1.5951e-14,1.2459e-16,-9.9609e-13,1.2507e-13,3.6912e-14,-1.0492e-14,6.3351e-12,1.4951e-15,-1.7475e-15,-2.2149e-15,-2.2426e-12,1,1.25,1.25,0,0
1.1678,-3.0026e-12,1.4004e-14,-1.8686e-16,-8.6273e-13,-1.0101e-14,-3.0064e-14,-9.4046e-15,5.363e-12,-1.1225e-15,-1.1276e-15,-8.8212e-16,-2.0093e-12,1,1.5,1.5,0,0
1.0982,-3.2183e-12,1.322e-14,-2.2833e-16,-9.2537e-13,-2.2896e-14,-1.5407e-14,-2.8986e-15,5.0703e-12,-5.6828e-17,-1.897e-16,2.7102e-17,-1.8386e-12,1,1.75,1.75,0,0
1.0615,-3.4644e-12,1.278e-14,-2.1219e-16,-1.0378e-12,-8.1471e-15,-6.9599e-15,-1.2169e-15,4.9423e-12,1.4558e-16,1.0169e-16,2.0137e-16,-1.7305e-12,1,2,2,0,0
1.0423,-3.7368e-12,1.2532e-14,-1.9418e-16,-1.1382e-12,-5.6847e-15,-5.0608e-15,-6.3999e-16,4.886e-12,8.5508e-17,1.2272e-16,1.4228e-16,-1.6571e-12,1,2.25,2.25,0,0
1.0308,-4.0301e-12,1.2387e-14,-1.7856e-16,-1.2099e-12,-3.8388e-15,-2.8434e-15,-4.5722e-16,4.8545e-12,4.7095e-17,6.3624e-17,9.925e-17,-1.6066e-12,1,2.5,2.5,0,0
1.0237,-4.3395e-12,1.2298e-14,-1.6354e-16,-1.2626e-12,-2.5244e-15,-1.4913e-15,-3.0574e-16,4.8367e-12,3.2029e-17,4.7509e-17,6.8166e-17,-1.5713e-12,1,2.75,2.75,0,0
1.0185,-4.6607e-12,1.2234e-14,-1.5386e-16,-1.3032e-12,-1.4593e-15,-8.6849e-16,-2.2332e-16,4.8251e-12,2.1059e-17,3.1346e-17,4.5072e-17,-1.5461e-12,1,3,3,0,0
1.0145,-4.9907e-12,1.2184e-14,-1.4914e-16,-1.3341e-12,-7.0676e-16,-5.2584e-16,-1.7745e-16,4.8162e-12,1.4859e-17,1.4263e-17,2.976e-17,-1.5277e-12,1,3.25,3.25,0,0
1.0111,-5.3273e-12,1.2142e-14,-1.4853e-16,-1.3576e-12,-2.2142e-16,-3.2417e-16,-1.5308e-16,4.8086e-12,9.9512e-18,-2.8943e-18,1.9161e-17,-1.5142e-12,1,3.5,3.5,0,0
1.0081,-5.6688e-12,1.2105e-14,-1.5136e-16,-1.3748e-12,-4.8007e-18,-1.6798e-16,-1.4157e-16,4.8012e-12,7.3749e-18,-1.9007e-17,1.2767e-17,-1.5045e-12,1,3.75,3.75,0,0
1.0053,-6.014e-12,1.207e-14,-1.5785e-16,-1.3868e-12,4.2999e-17,-4.7334e-17,-1.4201e-16,4.7935e-12,5.4749e-18,-3.71e-17,8.6243e-18,-1.498e-12,1,4,4,0,0
1.0023,-6.3619e-12,1.2034e-14,-1.6964e-16,-1.3947e-12,1.3662e-16,2.3797e-17,-1.5507e-16,4.7846e-12,4.3183e-18,-6.0229e-17,6.211e-18,-1.4943e-12,1,4.25,4.25,0,0
0.99885,-6.7112e-12,1.1993e-14,-1.8776e-16,-1.3983e-12,2.4888e-16,8.0194e-17,-1.8112e-16,4.7737e-12,4.083e-18,-8.8873e-17,5.4992e-18,-1.4935e-12,1,4.5,4.5,0,0
0.99467,-7.0608e-12,1.1943e-14,-2.1433e-16,-1.3968e-12,3.2401e-16,1.12e-16,-2.194e-16,4.7593e-12,4.1187e-18,-1.2025e-16,6.0225e-18,-1.4959e-12,1,4.75,4.75,0,0
0.98922,-7.4089e-12,1.1878e-14,-2.5214e-16,-1.3885e-12,2.1467e-16,7.9501e-17,-3.1083e-16,4.7391e-12,2.9672e-18,-1.9562e-16,6.8795e-18,-1.5022e-12,1,5,5,0,0
