"X","Y","Z","         S-S22","5-X","Points:0","Points:1","Points:2"
5,5,0,1.0006,0,5,5,0
5,4.75,0,0.99676,0,5,4.75,0
5,4.5,0,0.9866,0,5,4.5,0
5,4.25,0,0.97142,0,5,4.25,0
5,4,0,0.95171,0,5,4,0
5,3.75,0,0.92743,0,5,3.75,0
5,3.5,0,0.89804,0,5,3.5,0
5,3.25,0,0.86251,0,5,3.25,0
5,3,0,0.8192,0,5,3,0
5,2.75,0,0.76568,0,5,2.75,0
5,2.5,0,0.69851,0,5,2.5,0
5,2.25,0,0.61285,0,5,2.25,0
5,2,0,0.50219,0,5,2,0
5,1.75,0,0.35769,0,5,1.75,0
5,1.5,0,0.1556,0,5,1.5,0
5,1.25,0,-0.051724,0,5,1.25,0
5,1,0,-0.037779,0,5,1,0
5,1,0,-0.037779,0,5,0.75,0
5,1,0,-0.037779,0,5,0.5,0
5,1,0,-0.037779,0,5,0.25,0
4.2066,0.60876,0,1.1026,0.79335,5,0,0
