"5 - X","d1","d2","dd1:0","dd1:1","dd1:2","dd2:0","dd2:1","dd2:2","s22","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.0445e-16,-1.2598e-11,2.7319e-11,-1.8562e-12,-1.2775e-12,0,1.2734e-12,4.3342e-12,0,1.0005,1,0,5,5,0
-1.4654e-15,-1.2279e-11,2.6234e-11,-1.8609e-12,-1.2704e-12,0,1.2575e-12,4.3497e-12,0,1.0043,1,0.25,5,4.75,0
-1.5999e-16,-1.1971e-11,2.5146e-11,-1.8599e-12,-1.1977e-12,0,1.1926e-12,4.3509e-12,0,1.0048,1,0.5,5,4.5,0
-2.1082e-16,-1.1684e-11,2.4064e-11,-1.8417e-12,-1.0994e-12,0,1.0999e-12,4.3098e-12,0,0.99534,1,0.75,5,4.25,0
1.5661e-16,-1.1422e-11,2.2996e-11,-1.8069e-12,-9.9966e-13,0,1.0038e-12,4.2283e-12,0,0.97651,1,1,5,4,0
-5.6987e-16,-1.1183e-11,2.1954e-11,-1.7559e-12,-9.1145e-13,0,9.1818e-13,4.1093e-12,0,0.94904,1,1.25,5,3.75,0
6.0461e-16,-1.0963e-11,2.0946e-11,-1.6891e-12,-8.4332e-13,0,8.5232e-13,3.9538e-12,0,0.91317,1,1.5,5,3.5,0
1.4842e-16,-1.0758e-11,1.9982e-11,-1.6055e-12,-8.0229e-13,0,8.1381e-13,3.7599e-12,0,0.86849,1,1.75,5,3.25,0
2.2871e-16,-1.0558e-11,1.9072e-11,-1.503e-12,-7.9588e-13,0,8.1065e-13,3.523e-12,0,0.81392,1,2,5,3,0
-7.6175e-16,-1.0354e-11,1.8227e-11,-1.3782e-12,-8.3423e-13,0,8.5372e-13,3.2346e-12,0,0.74751,1,2.25,5,2.75,0
-7.4551e-16,-1.0133e-11,1.7463e-11,-1.2252e-12,-9.3278e-13,0,9.5946e-13,2.8818e-12,0,0.66632,1,2.5,5,2.5,0
-6.9256e-16,-9.8772e-12,1.6797e-11,-1.0378e-12,-1.1164e-12,0,1.1539e-12,2.4474e-12,0,0.56618,1,2.75,5,2.25,0
1.102e-16,-9.5591e-12,1.6252e-11,-8.0354e-13,-1.4256e-12,0,1.4818e-12,1.9077e-12,0,0.44199,1,3,5,2,0
8.7667e-11,-9.1385e-12,1.5857e-11,-5.2931e-13,-1.9349e-12,0,2.0285e-12,1.2521e-12,0,0.28987,1,3.25,5,1.75,0
6.2446e-13,-8.5499e-12,1.5642e-11,-1.9134e-13,-2.7714e-12,0,2.9063e-12,4.4283e-13,0,0.10202,1,3.5,5,1.5,0
8.4909e-13,-7.7001e-12,1.5602e-11,-2.9959e-16,-4.1188e-12,0,3.9622e-12,-1.3331e-13,0,-0.037729,1,3.75,5,1.25,0
-2.1068e-16,-6.5651e-12,1.5636e-11,-1.9222e-13,-4.8769e-12,0,4.5159e-12,-9.9115e-14,0,-0.051321,1,4,5,1,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.25,5,0.75,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.5,5,0.5,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.75,5,0.25,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5,5,0,0
